"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","129,68","129,09","130,16","128,45","272,78K","0,36%"
"30/12/2019","129,21","132,31","132,60","129,17","847,35K","-2,46%"
"27/12/2019","132,47","132,66","134,06","131,95","693,50K","0,11%"
"24/12/2019","132,33","132,33","132,72","131,51","214,38K","0,27%"
"23/12/2019","131,97","131,39","132,47","130,40","779,14K","0,69%"
"20/12/2019","131,07","129,94","131,69","129,36","2,25M","0,81%"
"19/12/2019","130,02","130,04","130,08","128,73","1,29M","0,08%"
"18/12/2019","129,92","130,68","131,43","129,56","1,72M","-0,60%"
"17/12/2019","130,70","130,40","131,19","128,35","2,06M","1,77%"
"16/12/2019","128,43","126,22","128,53","125,79","1,55M","2,64%"
"13/12/2019","125,13","126,06","126,58","124,08","1,72M","1,40%"
"12/12/2019","123,40","123,64","124,45","122,25","1,33M","0,13%"
"11/12/2019","123,24","122,69","123,62","122,29","1,12M","-0,18%"
"10/12/2019","123,46","123,70","123,84","121,77","1,49M","-0,58%"
"09/12/2019","124,18","126,12","126,28","123,86","1,31M","-1,65%"
"06/12/2019","126,26","126,50","127,50","125,43","1,13M","0,03%"
"05/12/2019","126,22","126,82","127,10","126,08","1,30M","-0,77%"
"04/12/2019","127,20","123,90","127,60","123,74","2,35M","3,16%"
"03/12/2019","123,30","129,21","129,50","123,30","2,87M","-4,41%"
"02/12/2019","128,99","133,04","133,58","128,99","1,99M","-2,71%"
"29/11/2019","132,58","131,89","132,68","130,88","1,53M","-0,17%"
"28/11/2019","132,80","132,33","133,24","131,69","555,84K","-0,24%"
"27/11/2019","133,12","135,31","135,37","132,86","869,94K","-1,28%"
"26/11/2019","134,85","133,38","134,89","133,28","1,46M","0,81%"
"25/11/2019","133,76","133,18","133,98","132,80","766,25K","0,66%"
"22/11/2019","132,88","133,14","134,25","132,72","710,55K","-0,26%"
"21/11/2019","133,22","134,00","134,53","132,88","1,01M","-0,78%"
"20/11/2019","134,27","134,00","134,97","133,84","756,97K","-0,15%"
"19/11/2019","134,47","133,88","135,82","133,88","820,25K","0,67%"
"18/11/2019","133,58","135,43","135,73","132,92","1,08M","-1,47%"
"15/11/2019","135,57","135,84","136,48","134,79","1,13M","0,40%"
"14/11/2019","135,03","135,03","135,94","134,17","685,66K","0,27%"
"13/11/2019","134,67","133,98","134,73","133,34","1,01M","0,61%"
"12/11/2019","133,86","132,39","134,41","131,83","1,12M","1,37%"
"11/11/2019","132,05","131,73","133,08","131,69","717,86K","-0,08%"
"08/11/2019","132,15","130,78","132,15","130,10","1,00M","0,52%"
"07/11/2019","131,47","130,46","131,75","130,38","1,03M","0,94%"
"06/11/2019","130,24","129,19","130,64","128,53","1,03M","0,71%"
"05/11/2019","129,32","130,08","130,08","127,81","1,10M","-0,55%"
"04/11/2019","130,04","129,58","131,39","129,25","1,23M","0,66%"
"01/11/2019","129,19","128,41","129,56","127,36","1,37M","1,21%"
"31/10/2019","127,64","129,19","129,56","127,36","1,99M","-1,20%"
"30/10/2019","129,19","121,25","129,19","120,90","2,39M","3,36%"
"29/10/2019","124,99","124,41","127,40","123,78","1,83M","0,86%"
"28/10/2019","123,92","123,04","124,45","122,49","914,62K","0,94%"
"25/10/2019","122,77","122,25","123,00","121,41","699,18K","1,04%"
"24/10/2019","121,51","119,76","121,83","119,52","849,24K","1,74%"
"23/10/2019","119,43","119,96","120,08","118,23","1,06M","-1,40%"
"22/10/2019","121,12","121,23","121,83","120,78","1,19M","-0,11%"
"21/10/2019","121,25","119,64","121,43","118,75","1,08M","1,33%"
"18/10/2019","119,66","119,07","119,76","118,43","1,18M","0,46%"
"17/10/2019","119,11","118,79","120,64","118,29","1,17M","0,44%"
"16/10/2019","118,59","118,37","119,17","117,60","844,51K","-0,10%"
"15/10/2019","118,71","118,71","120,04","118,19","1,19M","0,96%"
"14/10/2019","117,58","117,56","118,17","116,90","647,74K","-0,48%"
"11/10/2019","118,15","116,82","118,79","116,09","1,19M","0,81%"
"10/10/2019","117,20","116,32","117,24","114,69","947,63K","0,46%"
"09/10/2019","116,66","116,78","117,28","114,58","1,06M","-0,27%"
"08/10/2019","116,98","117,22","119,49","116,64","1,33M","0,41%"
"07/10/2019","116,50","117,06","117,06","115,47","789,41K","-0,48%"
"04/10/2019","117,06","119,15","119,25","116,52","1,24M","-1,21%"
"03/10/2019","118,49","116,58","119,23","116,58","2,22M","4,25%"
"02/10/2019","113,66","116,05","116,44","113,66","1,57M","-2,04%"
"01/10/2019","116,03","119,27","119,62","115,45","1,42M","-2,06%"
"30/09/2019","118,47","118,63","118,83","117,60","1,27M","0,17%"
"27/09/2019","118,27","119,07","119,27","117,62","1,30M","-0,45%"
"26/09/2019","118,81","119,70","120,72","118,33","1,05M","-1,17%"
"25/09/2019","120,22","117,48","120,22","117,16","1,28M","1,82%"
"24/09/2019","118,07","119,15","119,31","117,08","998,74K","-0,84%"
"23/09/2019","119,07","119,47","120,14","116,78","1,41M","-0,25%"
"20/09/2019","119,37","122,73","122,94","118,89","3,21M","-3,20%"
"19/09/2019","123,32","121,75","123,32","121,45","857,92K","1,02%"
"18/09/2019","122,07","121,15","122,07","120,46","983,97K","0,71%"
"17/09/2019","121,21","120,26","121,45","119,78","982,86K","0,59%"
"16/09/2019","120,50","120,26","121,31","117,99","1,62M","-3,39%"
"13/09/2019","124,73","124,20","125,31","123,50","1,18M","0,54%"
"12/09/2019","124,06","123,38","125,81","122,75","1,16M","1,07%"
"11/09/2019","122,75","122,29","122,96","121,59","840,87K","0,99%"
"10/09/2019","121,55","125,73","126,20","121,47","1,32M","-3,58%"
"09/09/2019","126,06","125,77","126,24","124,89","752,03K","0,18%"
"06/09/2019","125,83","126,22","126,94","125,39","840,37K","-0,56%"
"05/09/2019","126,54","126,22","127,99","125,95","811,22K","0,88%"
"04/09/2019","125,43","124,83","125,57","124,20","638,87K","1,27%"
"03/09/2019","123,86","124,75","124,87","122,53","619,71K","-1,09%"
"02/09/2019","125,23","125,05","125,59","124,08","489,16K","0,53%"
"30/08/2019","124,57","124,81","125,43","124,38","899,28K","0,05%"
"29/08/2019","124,51","120,66","124,63","120,38","973,08K","3,02%"
"28/08/2019","120,86","121,45","121,69","119,74","645,69K","-0,78%"
"27/08/2019","121,81","122,19","122,45","121,02","797,07K","-0,23%"
"26/08/2019","122,09","121,45","122,80","120,82","620,47K","0,18%"
"23/08/2019","121,87","124,10","124,63","121,87","1,11M","-1,45%"
"22/08/2019","123,66","127,06","127,06","123,50","1,02M","-2,80%"
"21/08/2019","127,22","125,73","127,52","125,47","698,99K","1,43%"
"20/08/2019","125,43","123,44","126,02","123,24","999,39K","1,14%"
"19/08/2019","124,02","123,50","125,77","123,34","950,55K","1,43%"
"16/08/2019","122,27","122,47","122,98","120,92","1,12M","0,51%"
"15/08/2019","121,65","121,65","123,02","119,54","1,06M","0,45%"
"14/08/2019","121,10","125,41","125,43","120,80","1,33M","-3,74%"
"13/08/2019","125,81","123,40","126,34","122,53","1,36M","1,11%"
"12/08/2019","124,43","125,23","126,60","124,10","728,77K","0,06%"
"09/08/2019","124,36","125,83","125,83","123,74","993,64K","-1,60%"
"08/08/2019","126,38","123,26","126,38","122,53","1,54M","4,23%"
"07/08/2019","121,25","120,08","122,31","119,41","1,50M","1,73%"
"06/08/2019","119,19","120,18","121,19","119,19","1,62M","-0,64%"
"05/08/2019","119,96","121,97","122,45","119,27","2,09M","-2,15%"
"02/08/2019","122,59","125,63","125,95","122,21","2,48M","-4,70%"
"01/08/2019","128,63","127,30","129,19","126,84","1,30M","1,06%"
"31/07/2019","127,28","129,21","129,70","125,97","1,55M","0,27%"
"30/07/2019","126,94","129,36","129,62","126,62","1,26M","-1,81%"
"29/07/2019","129,28","129,64","130,52","129,28","767,77K","-0,71%"
"26/07/2019","130,20","130,72","130,99","130,02","787,66K","0,39%"
"25/07/2019","129,70","131,53","132,56","129,13","1,30M","-1,11%"
"24/07/2019","131,15","131,83","132,54","130,70","891,45K","-0,50%"
"23/07/2019","131,81","130,58","132,45","130,56","1,15M","1,42%"
"22/07/2019","129,96","130,40","130,88","129,58","909,19K","-0,57%"
"19/07/2019","130,70","131,63","133,04","130,24","1,11M","-0,45%"
"18/07/2019","131,29","130,68","132,11","129,38","918,16K","0,11%"
"17/07/2019","131,15","130,16","131,51","130,08","1,08M","0,62%"
"16/07/2019","130,34","128,09","130,62","127,69","1,04M","1,50%"
"15/07/2019","128,41","127,79","129,11","127,36","973,65K","1,19%"
"12/07/2019","126,90","125,51","127,26","124,36","1,02M","1,35%"
"11/07/2019","125,21","125,45","126,32","124,97","727,47K","0,11%"
"10/07/2019","125,07","124,08","126,84","123,74","1,02M","1,40%"
"09/07/2019","123,34","123,32","123,96","122,55","666,96K","0,15%"
"08/07/2019","123,16","123,44","123,66","122,25","788,49K","-0,53%"
"05/07/2019","123,82","123,78","124,43","122,94","724,07K","-0,63%"
"04/07/2019","124,61","124,83","125,19","123,68","454,67K","-0,21%"
"03/07/2019","124,87","123,52","125,27","123,06","675,45K","1,36%"
"02/07/2019","123,20","122,15","123,52","121,85","1,03M","-0,28%"
"01/07/2019","123,54","122,75","125,31","122,75","849,43K","-0,31%"
"28/06/2019","123,92","122,90","124,24","122,47","1,11M","0,65%"
"27/06/2019","123,12","124,73","124,99","123,06","995,49K","-1,32%"
"26/06/2019","124,77","124,24","125,23","123,74","1,03M","0,29%"
"25/06/2019","124,41","121,85","124,47","121,85","1,07M","1,55%"
"24/06/2019","122,51","121,81","122,69","121,65","839,58K","0,39%"
"21/06/2019","122,03","122,53","124,22","122,01","2,46M","-0,55%"
"20/06/2019","122,71","122,25","123,48","121,04","1,75M","0,38%"
"19/06/2019","122,25","124,83","124,99","121,81","1,65M","-1,96%"
"18/06/2019","124,69","124,02","125,73","123,82","1,68M","0,36%"
"17/06/2019","124,24","122,09","124,38","121,65","1,37M","2,11%"
"14/06/2019","121,67","122,01","122,19","120,30","873,53K","-0,20%"
"13/06/2019","121,91","121,65","122,94","121,25","890,37K","0,31%"
"12/06/2019","121,53","121,43","122,41","120,26","924,06K","-0,91%"
"11/06/2019","122,65","120,76","123,40","120,74","1,13M","1,94%"
"10/06/2019","120,32","121,19","121,25","119,43","507,75K","0,12%"
"07/06/2019","120,18","117,68","121,69","117,34","1,20M","2,51%"
"06/06/2019","117,24","118,31","119,82","117,06","1,03M","-0,62%"
"05/06/2019","117,97","117,50","119,13","117,06","1,23M","0,18%"
"04/06/2019","117,76","115,79","117,97","114,48","1,26M","1,13%"
"03/06/2019","116,44","113,01","116,44","112,17","1,16M","2,00%"
"31/05/2019","114,16","112,91","114,18","111,91","1,42M","-0,33%"
"30/05/2019","114,54","113,90","114,73","113,78","527,33K","0,76%"
"29/05/2019","113,68","115,25","115,73","112,43","1,46M","-1,67%"
"28/05/2019","115,61","116,27","116,82","114,97","1,12M","-0,45%"
"27/05/2019","116,13","117,06","117,28","115,79","314,71K","0,26%"
"24/05/2019","115,83","114,87","116,78","114,75","941,76K","1,45%"
"23/05/2019","114,18","116,46","117,06","114,04","1,29M","-2,83%"
"22/05/2019","117,50","117,48","117,64","116,64","841,62K","-0,03%"
"21/05/2019","117,54","118,73","118,99","117,12","797,26K","-0,68%"
"20/05/2019","118,35","119,98","120,44","117,52","880,70K","-1,59%"
"17/05/2019","120,26","121,71","122,07","119,76","1,35M","-1,22%"
"16/05/2019","121,75","119,92","122,03","119,21","1,17M","1,34%"
"15/05/2019","120,14","118,33","120,14","117,36","1,23M","1,58%"
"14/05/2019","118,27","116,28","118,41","115,99","1,08M","3,01%"
"13/05/2019","114,81","116,32","116,52","114,12","1,19M","-1,69%"
"10/05/2019","116,78","116,78","117,64","115,81","1,15M","0,59%"
"09/05/2019","116,09","116,92","117,60","115,67","1,07M","-1,68%"
"08/05/2019","118,07","116,96","118,55","116,23","1,14M","1,07%"
"07/05/2019","116,82","118,99","119,37","116,34","1,25M","-1,81%"
"06/05/2019","118,97","116,30","119,11","114,36","943,59K","0,12%"
"03/05/2019","118,83","118,51","119,96","118,45","919,71K","-0,35%"
"02/05/2019","119,25","119,92","120,84","118,95","1,60M","-1,56%"
"30/04/2019","121,14","123,22","123,24","120,06","1,39M","-0,92%"
"29/04/2019","122,27","121,25","122,77","120,78","1,07M","0,95%"
"26/04/2019","121,12","121,65","122,31","120,46","1,02M","-0,02%"
"25/04/2019","121,15","121,49","121,93","120,48","891,41K","-0,25%"
"24/04/2019","121,45","122,15","122,53","121,04","882,28K","-0,49%"
