"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2018","43,41","43,50","43,50","42,77","655,38K","0,23%"
"03/01/2018","43,21","43,39","43,39","42,92","824,91K","-0,46%"
"04/01/2018","43,68","43,48","43,88","43,39","734,96K","1,09%"
"05/01/2018","44,15","43,53","44,15","43,53","769,77K","1,08%"
"08/01/2018","44,58","44,25","44,70","44,21","884,11K","0,97%"
"09/01/2018","44,82","44,43","44,98","44,42","553,69K","0,54%"
"10/01/2018","44,83","44,66","44,83","44,26","759,63K","0,02%"
"11/01/2018","44,64","44,81","44,84","44,43","817,90K","-0,42%"
"12/01/2018","44,66","44,68","44,74","44,32","483,64K","0,04%"
"15/01/2018","45,20","44,70","45,38","44,52","921,91K","1,21%"
"16/01/2018","45,58","45,20","45,78","45,13","915,49K","0,84%"
"17/01/2018","45,63","45,58","45,74","45,23","714,02K","0,11%"
"18/01/2018","45,75","45,88","45,89","45,41","768,66K","0,26%"
"19/01/2018","45,61","45,67","45,71","45,42","597,97K","-0,31%"
"22/01/2018","45,73","45,69","45,98","45,47","802,01K","0,26%"
"23/01/2018","45,52","45,85","45,97","45,30","544,35K","-0,46%"
"24/01/2018","45,46","45,37","45,73","45,30","643,33K","-0,13%"
"25/01/2018","45,26","45,27","45,55","44,83","677,94K","-0,44%"
"26/01/2018","45,48","45,25","45,82","45,18","670,59K","0,49%"
"29/01/2018","45,32","45,65","45,69","45,32","575,09K","-0,35%"
"30/01/2018","44,76","45,01","45,23","44,76","881,10K","-1,24%"
"31/01/2018","44,77","44,76","45,04","44,61","938,76K","0,02%"
"01/02/2018","44,42","44,87","44,93","44,30","636,71K","-0,78%"
"02/02/2018","43,61","44,29","44,38","43,61","869,45K","-1,82%"
"05/02/2018","42,77","43,38","43,38","42,71","1,23M","-1,93%"
"06/02/2018","41,34","41,49","42,32","41,10","2,19M","-3,34%"
"07/02/2018","41,98","41,69","42,10","41,34","1,28M","1,55%"
"08/02/2018","40,48","41,80","41,94","40,46","1,43M","-3,57%"
"09/02/2018","40,34","40,21","40,69","39,86","1,59M","-0,35%"
"12/02/2018","40,95","40,99","41,21","40,62","1,12M","1,51%"
"13/02/2018","40,45","40,85","41,06","40,45","900,54K","-1,22%"
"14/02/2018","40,73","40,74","41,05","40,35","748,42K","0,69%"
"15/02/2018","41,56","41,08","41,68","40,85","1,03M","2,04%"
"16/02/2018","41,78","41,73","42,16","41,56","685,56K","0,53%"
"19/02/2018","41,81","41,95","42,00","41,64","477,46K","0,07%"
"20/02/2018","42,69","41,84","42,94","41,75","1,04M","2,10%"
"21/02/2018","43,13","42,64","43,13","42,43","857,93K","1,03%"
"22/02/2018","43,22","43,97","44,36","42,87","1,52M","0,21%"
"23/02/2018","42,84","43,35","43,35","42,34","868,08K","-0,88%"
"26/02/2018","42,17","42,93","42,93","41,88","1,14M","-1,56%"
"27/02/2018","42,22","42,20","42,35","41,99","744,81K","0,12%"
"28/02/2018","41,66","42,20","42,37","41,65","956,45K","-1,33%"
"01/03/2018","40,99","41,53","41,66","40,93","762,26K","-1,61%"
"02/03/2018","40,20","40,73","40,76","40,11","971,89K","-1,93%"
"05/03/2018","40,53","40,20","40,64","40,17","664,79K","0,82%"
"06/03/2018","40,58","40,86","41,08","40,52","545,43K","0,12%"
"07/03/2018","40,41","40,49","40,61","40,02","714,39K","-0,42%"
"08/03/2018","40,70","40,49","40,79","40,18","712,94K","0,72%"
"09/03/2018","40,74","40,66","40,91","40,48","756,12K","0,10%"
"12/03/2018","40,76","41,07","41,09","40,54","455,06K","0,05%"
"13/03/2018","40,70","40,99","41,22","40,51","842,83K","-0,15%"
"14/03/2018","40,72","40,66","41,13","40,58","585,34K","0,05%"
"15/03/2018","41,50","41,00","41,56","40,90","906,09K","1,92%"
"16/03/2018","41,70","41,56","41,91","41,37","1,36M","0,48%"
"19/03/2018","41,36","41,65","41,67","41,18","539,41K","-0,82%"
"20/03/2018","41,43","41,42","41,55","41,18","464,09K","0,17%"
"21/03/2018","40,95","41,40","41,40","40,79","539,64K","-1,16%"
"22/03/2018","39,99","40,74","40,97","39,75","950,48K","-2,34%"
"23/03/2018","39,76","39,70","39,88","39,18","954,04K","-0,58%"
"26/03/2018","39,35","39,85","40,09","39,26","665,08K","-1,03%"
"27/03/2018","40,25","40,00","40,57","39,69","1,08M","2,29%"
"28/03/2018","40,34","40,00","40,44","39,76","875,33K","0,22%"
"29/03/2018","40,71","40,58","41,04","40,51","757,95K","0,92%"
"03/04/2018","40,77","40,27","40,92","40,26","800,47K","0,15%"
"04/04/2018","40,52","40,88","40,88","40,15","691,57K","-0,61%"
"05/04/2018","41,71","41,04","41,83","41,04","733,36K","2,94%"
"06/04/2018","41,57","41,68","41,81","41,43","447,52K","-0,34%"
"09/04/2018","41,73","41,60","41,92","41,55","348,00K","0,38%"
"10/04/2018","42,10","41,97","42,15","41,75","529,24K","0,89%"
"11/04/2018","41,60","42,05","42,05","41,56","544,40K","-1,19%"
"12/04/2018","41,84","41,64","41,90","41,58","427,44K","0,58%"
"13/04/2018","42,32","42,00","42,49","41,96","690,83K","1,15%"
"16/04/2018","42,21","42,23","42,32","41,90","683,63K","-0,26%"
"17/04/2018","42,36","42,33","42,64","41,98","815,80K","0,36%"
"18/04/2018","42,59","42,39","42,66","42,26","452,98K","0,54%"
"19/04/2018","42,86","42,47","43,00","42,42","794,91K","0,63%"
"20/04/2018","42,82","42,80","43,00","42,63","743,11K","-0,09%"
"23/04/2018","42,90","42,82","43,08","42,56","531,42K","0,19%"
"24/04/2018","42,54","42,84","43,12","42,36","1,21M","-0,84%"
"25/04/2018","41,73","42,30","42,58","41,62","923,47K","-1,90%"
