"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2018","71,39","71,43","71,70","70,69","2,24M","-0,13%"
"03/01/2018","71,69","71,62","72,01","71,00","2,17M","0,42%"
"04/01/2018","72,62","72,04","73,30","71,88","2,74M","1,30%"
"05/01/2018","73,97","72,44","74,18","72,44","2,57M","1,86%"
"08/01/2018","73,96","74,01","74,84","73,68","1,84M","-0,01%"
"09/01/2018","73,85","74,11","74,52","73,85","2,29M","-0,15%"
"10/01/2018","72,96","73,61","73,84","72,56","2,57M","-1,21%"
"11/01/2018","72,52","73,17","73,26","72,31","2,31M","-0,60%"
"12/01/2018","73,29","72,74","73,35","72,28","2,16M","1,06%"
"15/01/2018","72,82","72,94","73,26","72,58","1,56M","-0,64%"
"16/01/2018","73,02","72,77","73,42","72,63","2,05M","0,27%"
"17/01/2018","72,49","72,64","73,20","72,24","2,29M","-0,73%"
"18/01/2018","71,99","72,74","72,83","71,88","2,43M","-0,69%"
"19/01/2018","72,57","71,99","72,79","71,83","2,26M","0,81%"
"22/01/2018","70,46","71,13","71,13","69,43","6,56M","-2,91%"
"23/01/2018","70,81","69,73","71,74","69,72","4,18M","0,50%"
"24/01/2018","71,62","71,46","72,11","70,92","3,49M","1,14%"
"25/01/2018","71,87","71,61","72,81","71,47","2,66M","0,35%"
"26/01/2018","73,10","72,04","73,49","72,04","3,56M","1,71%"
"29/01/2018","72,52","72,89","73,18","71,96","2,52M","-0,79%"
"30/01/2018","71,93","72,48","73,13","71,56","3,79M","-0,81%"
"31/01/2018","70,75","71,65","72,03","70,50","3,54M","-1,64%"
"01/02/2018","69,99","70,81","71,34","69,75","2,63M","-1,07%"
"02/02/2018","69,59","69,68","69,90","69,30","2,88M","-0,57%"
"05/02/2018","68,66","69,27","69,35","68,66","3,40M","-1,34%"
"06/02/2018","67,17","67,20","68,42","67,01","6,38M","-2,17%"
"07/02/2018","66,36","66,24","67,75","65,02","6,97M","-1,21%"
"08/02/2018","64,75","65,26","66,20","64,40","5,04M","-2,43%"
"09/02/2018","63,06","64,75","64,99","62,76","4,98M","-2,61%"
"12/02/2018","63,95","64,15","64,61","63,95","3,78M","1,41%"
"13/02/2018","63,24","63,75","63,93","63,21","3,59M","-1,11%"
"14/02/2018","63,56","63,46","63,99","63,01","3,25M","0,51%"
"15/02/2018","63,17","63,56","63,77","62,93","2,82M","-0,61%"
"16/02/2018","64,16","63,35","64,54","63,24","3,68M","1,57%"
"19/02/2018","63,96","64,28","64,46","63,78","1,24M","-0,31%"
"20/02/2018","64,21","63,87","64,27","63,70","1,95M","0,39%"
"21/02/2018","64,36","63,83","64,57","63,62","1,82M","0,23%"
"22/02/2018","64,55","64,17","64,79","63,93","2,09M","0,30%"
"23/02/2018","64,71","64,67","64,88","64,08","1,43M","0,25%"
"26/02/2018","65,18","64,98","65,53","64,94","2,13M","0,73%"
"27/02/2018","65,24","65,44","65,48","64,92","2,32M","0,09%"
"28/02/2018","64,69","64,86","65,39","64,50","2,45M","-0,84%"
"01/03/2018","64,31","64,60","64,92","63,98","2,97M","-0,59%"
"02/03/2018","63,07","63,75","63,90","62,95","2,62M","-1,93%"
"05/03/2018","64,16","62,93","64,34","62,80","3,26M","1,73%"
"06/03/2018","63,37","64,55","64,85","63,32","3,86M","-1,23%"
"07/03/2018","63,75","63,15","63,98","62,90","1,84M","0,60%"
"08/03/2018","64,57","63,77","64,90","63,36","2,85M","1,29%"
"09/03/2018","65,24","64,76","65,59","64,50","2,38M","1,04%"
"12/03/2018","65,44","65,41","65,73","65,01","1,66M","0,31%"
"13/03/2018","65,02","65,29","66,10","64,80","2,19M","-0,64%"
"14/03/2018","64,90","65,15","65,51","64,76","2,19M","-0,18%"
"15/03/2018","65,88","65,18","66,24","65,15","3,29M","1,51%"
"16/03/2018","65,82","65,74","66,23","65,53","6,89M","-0,09%"
"19/03/2018","65,82","65,85","66,63","65,61","2,92M","0,00%"
"20/03/2018","65,46","65,91","66,08","64,86","1,96M","-0,55%"
"21/03/2018","64,69","65,41","65,42","64,36","2,33M","-1,18%"
"22/03/2018","64,29","64,16","64,40","63,51","3,09M","-0,62%"
"23/03/2018","63,38","63,97","64,34","62,98","3,54M","-1,42%"
"26/03/2018","62,88","63,75","64,34","62,55","2,50M","-0,79%"
"27/03/2018","63,59","64,36","64,38","63,36","2,53M","1,13%"
"28/03/2018","64,41","63,27","64,71","62,69","3,27M","1,29%"
"29/03/2018","64,99","64,65","65,10","64,23","2,65M","0,90%"
"03/04/2018","64,03","64,66","64,86","63,64","2,30M","-1,48%"
"04/04/2018","64,11","64,13","64,51","63,89","2,18M","0,12%"
"05/04/2018","65,77","65,32","65,77","65,09","3,01M","2,59%"
"06/04/2018","65,76","65,55","65,94","65,33","1,74M","-0,02%"
"09/04/2018","66,10","65,82","66,30","65,56","1,78M","0,52%"
"10/04/2018","66,65","66,52","66,93","66,25","2,24M","0,83%"
"11/04/2018","65,83","66,29","66,49","65,68","1,84M","-1,23%"
"12/04/2018","65,95","66,02","66,25","65,74","1,81M","0,18%"
"13/04/2018","65,65","66,00","66,12","65,50","2,15M","-0,45%"
"16/04/2018","65,71","65,80","66,09","65,07","1,34M","0,09%"
