"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"02/01/2018","70,02","70,96","71,04","69,54","1,17M","-1,19%"
"03/01/2018","70,96","69,96","71,04","69,92","1,25M","1,34%"
"04/01/2018","72,24","71,32","72,46","71,32","1,38M","1,80%"
"05/01/2018","73,24","72,50","73,36","72,42","1,13M","1,38%"
"08/01/2018","73,36","73,00","73,64","72,90","1,17M","0,16%"
"09/01/2018","74,48","74,00","74,76","73,74","1,51M","1,53%"
"10/01/2018","73,76","74,48","74,48","73,52","1,15M","-0,97%"
"11/01/2018","73,66","74,00","74,00","73,28","1,01M","-0,14%"
"12/01/2018","74,82","74,04","74,96","73,86","1,17M","1,57%"
"15/01/2018","74,58","74,72","74,88","74,18","984,18K","-0,32%"
"16/01/2018","74,80","74,64","75,22","74,54","1,10M","0,29%"
"17/01/2018","74,62","74,72","75,90","74,62","1,68M","-0,24%"
"18/01/2018","75,20","75,00","75,20","74,20","1,77M","0,78%"
"19/01/2018","75,64","74,92","76,06","74,86","1,38M","0,59%"
"22/01/2018","75,78","75,58","76,04","75,24","1,07M","0,19%"
"23/01/2018","76,28","76,10","76,34","75,86","1,23M","0,66%"
"24/01/2018","75,66","76,26","76,32","75,66","1,04M","-0,81%"
"25/01/2018","74,78","75,62","75,82","74,28","1,25M","-1,16%"
"26/01/2018","75,40","74,88","75,56","74,76","964,24K","0,83%"
"29/01/2018","75,74","75,48","76,06","75,40","881,15K","0,45%"
"30/01/2018","74,78","74,96","75,68","74,74","1,08M","-1,27%"
"31/01/2018","75,48","74,86","76,06","74,86","1,18M","0,94%"
"01/02/2018","74,38","75,58","75,84","74,20","1,31M","-1,46%"
"02/02/2018","72,38","74,10","74,24","72,38","1,92M","-2,69%"
"05/02/2018","71,82","71,72","72,24","71,50","1,70M","-0,77%"
"06/02/2018","70,42","69,48","70,98","69,00","3,48M","-1,95%"
"07/02/2018","71,40","70,90","72,02","70,14","2,35M","1,39%"
"08/02/2018","69,52","70,80","70,96","69,08","2,30M","-2,63%"
"09/02/2018","69,34","68,88","69,88","68,46","2,83M","-0,26%"
"12/02/2018","69,60","70,26","70,52","69,60","1,53M","0,37%"
"13/02/2018","68,74","69,50","69,80","68,74","1,55M","-1,24%"
"14/02/2018","69,24","69,46","69,90","68,30","2,05M","0,73%"
"15/02/2018","71,60","70,96","73,80","70,54","2,72M","3,41%"
"16/02/2018","72,16","72,98","74,70","71,48","2,28M","0,78%"
"19/02/2018","71,90","72,42","72,58","71,76","745,54K","-0,36%"
"20/02/2018","72,52","71,78","72,52","71,44","1,51M","0,86%"
"21/02/2018","72,34","72,28","72,42","71,56","894,53K","-0,25%"
"22/02/2018","72,08","71,76","72,40","71,44","1,16M","-0,36%"
"23/02/2018","72,00","72,28","72,38","71,58","791,65K","-0,11%"
"26/02/2018","72,06","72,32","72,62","71,72","725,54K","0,08%"
"27/02/2018","72,14","72,12","72,24","71,56","918,62K","0,11%"
"28/02/2018","71,58","71,72","72,06","71,22","1,56M","-0,78%"
